Q133458738,Q133869892
Q88898123,Q120143756
Q55789006,Q55785495
Q47272804,Q105486540
Q21096293,Q21156007
Q14905491,Q21120399
Q11775750,Q1092499
Q11129163,Q11377547
Q777952,Q974144
Q769584,Q179875
Q7227020,Q845392
Q693737,Q22084735
Q680933,Q188497
Q64952105,Q11893837
Q635047,Q130775042
Q6130986,Q166280
Q55738661,Q478634
Q460178,Q15829892
Q4294133,Q26958726
Q4201005,Q104820011
Q4117161,Q754984
Q386636,Q131468512
Q3115621,Q230655
Q29584757,Q273623
Q2597952,Q131030
Q24700892,Q113446332
Q2418495,Q3238833
Q24047813,Q679165
Q2370229,Q188211
Q2261440,Q102083
Q207241,Q631931
Q2015382,Q527091
Q1968442,Q43667189
Q188524,Q1952404
Q1879241,Q55738528
Q179651,Q1959825
Q17146090,Q10358588
Q16969697,Q55043
Q16909354,Q1365560
Q15188241,Q1941909
Q14928,Q13334890
Q138858,Q713200
Q133521627,Q1588658
Q12216326,Q105982221
Q11850222,Q18553219
Q114953,Q54930906
Q113145992,Q2478058
Q104502025,Q104502006
Q101352,Q4116295
Q24047611,Q105561584
Q22260750,Q22250706
Q18972207,Q136439688
Q133458632,Q134418903
Q11455398,Q3370097
Q97210839,Q580112
Q56585727,Q113745654
Q5531654,Q83460
Q4382010,Q118582773
Q3505239,Q484298
Q332423,Q12764401
Q30592245,Q1402516
Q30587619,Q357813
Q2342396,Q1091024
Q16973854,Q2065704
Q13655856,Q164307
Q112188839,Q112188843
Q112176862,Q112176861
Q22253561,Q22244271
Q69197847,Q208469
Q61861399,Q1501800
Q4733626,Q844450
Q3706669,Q50429917
Q26100,Q178697
Q131828119,Q75029
Q1259197,Q16295560
Q112189447,Q112189040
Q696819,Q3247049
Q112189265,Q112189267
Q10726370,Q600751
Q68461428,Q142943
Q17141719,Q206286
Q11293381,Q11239464
Q24788543,Q6088517
Q28640,Q12737077
Q2897903,Q2424752
